player,team,base_player_rating,expected_minutes_share,goals_prior,assists_prior,chance_creation_prior,defensive_actions_prior,goalkeeper_actions_prior,discipline_risk,star_role_score,flair_score,notes,source
YANNICK SEMEDO,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
WILLY SEMEDO,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
TELMO ARCANJO,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DAILON LIVRAMENTO,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
RYAN MENDES,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
NUNO DA COSTA,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
STEVEN MOREIRA,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CJ DOS SANTOS,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
WAGNER PINA,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KELVIN PIRES,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
HELIO VARELA,Cabo Verde,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ST. CLAIR Dayne,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
JOHNSTON Alistair,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
JONES Al,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DE FOUGEROLLES Luc,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
WATERMAN Joel,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CHOINIERE Mathieu,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
EUSTAQUIO Stephen,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KONE Ismael,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LARIN Cyle,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DAVID Jonathan,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MILLAR Liam,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
OLUWASEYI Tani,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CORNELIUS Derek,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SHAFFELBURG Jacob,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BOMBITO Moise,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CREPEAU Maxime,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BUCHANAN Tajon,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GOODMAN Owen,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DAVIES Alphonso,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
AHMED Ali,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
OSORIO Jonathan,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LARYEA Richie,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SIGUR Niko,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DAVID Promise,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SALIBA Nathan,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
FLORES Marcelo,Canada,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
OSPINA David,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MUNOZ Daniel,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LUCUMI Jhon,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ARIAS Santiago,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CASTANO Kevin,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
RIOS Richard,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DIAZ Luis,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CARRASCAL Jorge,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CORDOBA Jhon,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
RODRIGUEZ James,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ARIAS Jhon,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
VARGAS Camilo,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MINA Yerry,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PUERTA Gustavo,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PORTILLA Juan,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LERMA Jefferson,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MOJICA Johan,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DITTA Willer,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
HERNANDEZ Cucho,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
QUINTERO Juan,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CAMPAZ Jaminton,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MACHADO Deiver,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SANCHEZ Davinson,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MONTERO Alvaro,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SUAREZ Luis,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GOMEZ Andres,Colombia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MPASI Lionel,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
WAN-BISSAKA Aaron,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KAPUADI Steve,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
TUANZEBE Axel,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BATUBINSIKA Dylan,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MUKAU Ngalayel,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MBUKU Nathanael,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MOUTOUSSAMY Samuel,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CIPENGA Brian,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BONGONDA Theo,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KAKUTA Gael,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KAYEMBE Joris,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ELIA Meschack,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SADIKI Noah,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
TSHIBOLA Aaron,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
FAYULU Timothy,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BAKAMBU Cedric,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PICKEL Charles,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MAYELE Fiston,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
WISSA Yoane,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
EPOLO Matthieu,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MBEMBA Chancel,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BANZA Simon,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KALULU Gedeon,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KAYEMBE Edo,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MASUAKU Arthur,Congo DR,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
FOFANA Yahia,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DIOMANDE Ousmane,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KONAN Ghislain,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SERI Jean Michael,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SINGO Wilfried,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
FOFANA Seko,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KOSSOUNOU Odilon,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KESSIE Franck,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BONNY Ange-Yoan,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ADINGRA Simon,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DIOMANDE Yan,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
WAHI Elye,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
OPERI Christopher,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DIAKITE Oumar,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DIALLO Amad,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KONE Mohamed,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DOUE Guela,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SANGARE Ibrahim,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PEPE Nicolas,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
AGBADOU Emmanuel,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
NDICKA Evan,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GUESSAND Evann,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LAFONT Alban,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
TOURE Bazoumana,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GUIAGON Parfait,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
OULAI Christ Inao,Côte D'Ivoire,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LIVAKOVIC Dominik,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
STANISIC Josip,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PONGRACIC Marin,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GVARDIOL Josko,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CALETA-CAR Duje,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SUTALO Josip,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MORO Nikola,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KOVACIC Mateo,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KRAMARIC Andrej,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MODRIC Luka,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BUDIMIR Ante,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PANDUR Ivor,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
VLASIC Nikola,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PERISIC Ivan,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PASALIC Mario,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BATURINA Martin,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SUCIC Petar,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
JAKIC Kristijan,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
FRUK Toni,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MATANOVIC Igor,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SUCIC Luka,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
VUSKOVIC Luka,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KOTARSKI Dominik,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PASALIC Marco,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ERLIC Martin,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MUSA Petar,Croatia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ROOM Eloy,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SAMBO Shurandy,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GAARI Jurien,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
VAN EIJMA Roshon,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
FLORANUS Sherel,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ROEMERATOE Godfried,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BACUNA Juninho,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
COMENENCIA Livano,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
LOCADIA Juergen,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BACUNA Leandro,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ANTONISSE Jeremy,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
HANSEN Sontje,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
NOSLIN Tyrese,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GORRE Kenji,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MARTHA Arjany,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
MARGARITHA Jearl,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KUWAS Brandley,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
OBISPO Armando,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KASTANEER Gervane,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BRENET Joshua,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CHONG Tahith,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
FELIDA Kevin,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BAZOER Riechedly,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
FONVILLE Deveron,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
BODAK Tyrick,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DOORNBUSCH Trevor,Curaçao,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KOVAR Matej,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ZIMA David,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
HOLES Tomas,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
HRANAC Robin,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
COUFAL Vladimir,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CHALOUPEK Stepan,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KREJCI Ladislav,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DARIDA Vladimir,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
HLOZEK Adam,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SCHICK Patrik,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
KUCHTA Jan,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CERV Lukas,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CHYTIL Mojmir,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
JURASEK David,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SULC Pavel,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
STANEK Jindrich,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PROVOD Lukas,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SADILEK Michal,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
CHORY Tomas,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ZELENY Jaroslav,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
DOUDERA David,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SOUCEK Tomas,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
HORNICEK Lukas,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SOJKA Alexandr,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
SOCHUREK Hugo,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
VISINSKY Denis,Czechia,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
GALINDEZ Hernan,Ecuador,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
TORRES Felix,Ecuador,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
HINCAPIE Piero,Ecuador,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ORDONEZ Joel,Ecuador,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ALCIVAR Jordy,Ecuador,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
PACHO Willian,Ecuador,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
ESTUPINAN Pervis,Ecuador,50,0.5,0,0,0,0,0,0.5,0,0,Edit these conservative defaults with expert knowledge,fifa_squad_pdf
